Date,Question,Outcome,Side,Price,Size (USDC)
"2026-01-02T19:50:19.000Z","Spread: AC Milan (-1.5)","Cagliari Calcio","BUY","66.0¢","$35.47"
"2026-01-02T19:50:07.000Z","Will AC Milan win on 2026-01-02?","Yes","BUY","59.0¢","$10.68"
"2026-01-02T19:50:01.000Z","Will Toulouse FC win on 2026-01-02?","No","BUY","62.0¢","$28.23"
"2026-01-02T19:49:59.000Z","Cagliari Calcio vs. AC Milan: O/U 1.5","Under","BUY","28.0¢","$64.56"
"2026-01-02T19:49:37.000Z","Spread: Texas State (-17.5)","Texas State","BUY","26.0¢","$200.00"
"2026-01-02T19:49:35.000Z","Spread: Texas State (-17.5)","Texas State","BUY","26.0¢","$5.00"
"2026-01-02T19:49:07.000Z","SD Eibar vs. CD Mirandés: O/U 3.5","Under","BUY","62.0¢","$34.18"
"2026-01-02T19:48:43.000Z","Will Cagliari Calcio vs. AC Milan end in a draw?","No","BUY","74.0¢","$1000.11"
"2026-01-02T19:47:23.000Z","Cagliari Calcio vs. AC Milan: O/U 1.5","Under","BUY","28.0¢","$69.44"
"2026-01-02T19:47:21.000Z","Cagliari Calcio vs. AC Milan: O/U 3.5","Under","BUY","75.0¢","$8.84"
"2026-01-02T19:46:59.000Z","Spread: Racing Club de Lens (-1.5)","Racing Club de Lens","BUY","11.0¢","$10.98"
"2026-01-02T19:46:31.000Z","Spread: AC Milan (-1.5)","AC Milan","BUY","33.0¢","$1.49"
"2026-01-02T19:46:29.000Z","Cagliari Calcio vs. AC Milan: Both Teams to Score","Yes","BUY","44.0¢","$200.00"
"2026-01-02T19:46:27.000Z","Will AC Milan win on 2026-01-02?","No","BUY","37.0¢","$3.08"
"2026-01-02T19:46:19.000Z","Will AC Milan win on 2026-01-02?","No","BUY","37.0¢","$3.08"
"2026-01-02T19:46:17.000Z","Will AC Milan win on 2026-01-02?","No","BUY","37.0¢","$15.63"
"2026-01-02T19:46:07.000Z","Will AC Milan win on 2026-01-02?","No","BUY","37.0¢","$5.79"
"2026-01-02T19:45:59.000Z","Will AC Milan win on 2026-01-02?","No","BUY","38.0¢","$1.77"
"2026-01-02T19:45:57.000Z","Will AC Milan win on 2026-01-02?","No","BUY","38.0¢","$9.10"
"2026-01-02T19:45:55.000Z","Will AC Milan win on 2026-01-02?","No","BUY","38.0¢","$3.23"
"2026-01-02T19:45:45.000Z","Spread: AC Milan (-1.5)","Cagliari Calcio","BUY","64.0¢","$10.63"
"2026-01-02T19:42:33.000Z","Cagliari Calcio vs. AC Milan: O/U 2.5","Under","BUY","54.0¢","$90.45"
"2026-01-02T19:42:31.000Z","Cagliari Calcio vs. AC Milan: O/U 2.5","Under","BUY","54.0¢","$5908.65"
"2026-01-02T19:41:23.000Z","Will SD Eibar win on 2026-01-02?","No","BUY","37.0¢","$302.06"
"2026-01-02T19:40:51.000Z","Rice vs. Texas State","Texas State","BUY","87.0¢","$769.23"
"2026-01-02T19:38:53.000Z","Will Al Ahli Saudi Club vs. Al Nassr Saudi Club end in a draw?","Yes","BUY","3.0¢","$5010.00"
"2026-01-02T19:38:49.000Z","Will Al Ahli Saudi Club win on 2026-01-02?","No","BUY","3.0¢","$1947.00"
"2026-01-02T19:38:47.000Z","Will Al Ahli Saudi Club win on 2026-01-02?","No","BUY","2.0¢","$3.06"
"2026-01-02T19:38:45.000Z","Will Al Ahli Saudi Club win on 2026-01-02?","No","BUY","2.0¢","$3.06"
"2026-01-02T19:38:45.000Z","Will Al Ahli Saudi Club win on 2026-01-02?","No","BUY","2.0¢","$5.10"
"2026-01-02T19:38:45.000Z","Will Al Ahli Saudi Club win on 2026-01-02?","No","BUY","3.0¢","$1249.00"
"2026-01-02T19:38:43.000Z","Will Al Ahli Saudi Club win on 2026-01-02?","No","BUY","2.0¢","$102.04"
"2026-01-02T19:38:39.000Z","Will Al Ahli Saudi Club vs. Al Nassr Saudi Club end in a draw?","Yes","BUY","3.0¢","$100.00"
"2026-01-02T19:38:39.000Z","Will Al Ahli Saudi Club vs. Al Nassr Saudi Club end in a draw?","Yes","BUY","3.0¢","$76.36"
"2026-01-02T19:38:31.000Z","Will Al Ahli Saudi Club vs. Al Nassr Saudi Club end in a draw?","Yes","BUY","3.0¢","$34.68"
"2026-01-02T19:38:07.000Z","Will Al Ahli Saudi Club win on 2026-01-02?","No","BUY","2.0¢","$26.31"
"2026-01-02T19:38:07.000Z","Will Melbourne City FC win on 2026-01-03?","No","BUY","54.0¢","$5999.11"
"2026-01-02T19:38:03.000Z","Will Al Ahli Saudi Club win on 2026-01-02?","No","BUY","2.0¢","$10.20"
"2026-01-02T19:38:01.000Z","Will Al Ahli Saudi Club vs. Al Nassr Saudi Club end in a draw?","Yes","BUY","2.0¢","$2.75"
"2026-01-02T19:37:59.000Z","Will Al Ahli Saudi Club vs. Al Nassr Saudi Club end in a draw?","Yes","BUY","2.0¢","$7.69"
"2026-01-02T19:37:55.000Z","Will Al Ahli Saudi Club vs. Al Nassr Saudi Club end in a draw?","Yes","BUY","4.0¢","$10.00"
"2026-01-02T19:37:55.000Z","Will Al Ahli Saudi Club vs. Al Nassr Saudi Club end in a draw?","Yes","BUY","2.0¢","$14.94"
"2026-01-02T19:37:55.000Z","Will Al Ahli Saudi Club win on 2026-01-02?","No","BUY","2.0¢","$204.08"
"2026-01-02T19:37:47.000Z","Rice vs. Texas State","Texas State","BUY","87.0¢","$0.14"
"2026-01-02T19:37:47.000Z","Will Al Ahli Saudi Club win on 2026-01-02?","No","BUY","2.0¢","$1.02"
"2026-01-02T19:37:43.000Z","Will Al Ahli Saudi Club win on 2026-01-02?","No","BUY","2.0¢","$62.00"
"2026-01-02T19:37:39.000Z","Will Al Ahli Saudi Club win on 2026-01-02?","No","BUY","3.0¢","$1000.11"
"2026-01-02T19:37:37.000Z","Spread: Texas State (-13.5)","Texas State","BUY","43.0¢","$66.00"
"2026-01-02T19:36:43.000Z","Will Melbourne City FC win on 2026-01-03?","No","BUY","54.0¢","$5999.11"
"2026-01-02T19:35:33.000Z","Will Al Ahli Saudi Club vs. Al Nassr Saudi Club end in a draw?","Yes","BUY","10.0¢","$20.01"
"2026-01-02T19:35:17.000Z","Will Al Ahli Saudi Club vs. Al Nassr Saudi Club end in a draw?","Yes","BUY","9.0¢","$15.00"
"2026-01-02T19:35:15.000Z","Will Al Nassr Saudi Club win on 2026-01-02?","Yes","BUY","0.2¢","$5.00"
"2026-01-02T19:35:13.000Z","Will Al Ahli Saudi Club vs. Al Nassr Saudi Club end in a draw?","Yes","BUY","11.0¢","$31.00"
"2026-01-02T19:35:13.000Z","Will Al Ahli Saudi Club win on 2026-01-02?","No","BUY","11.0¢","$1.12"
"2026-01-02T19:35:03.000Z","Will Al Ahli Saudi Club win on 2026-01-02?","No","BUY","11.0¢","$1000.11"
"2026-01-02T19:35:01.000Z","Will Al Ahli Saudi Club vs. Al Nassr Saudi Club end in a draw?","Yes","BUY","9.0¢","$31.90"
"2026-01-02T19:34:59.000Z","Will Al Ahli Saudi Club win on 2026-01-02?","No","BUY","9.0¢","$53.82"
"2026-01-02T19:34:47.000Z","Will Al Ahli Saudi Club vs. Al Nassr Saudi Club end in a draw?","Yes","BUY","9.0¢","$6.69"
"2026-01-02T19:34:43.000Z","Will Al Nassr Saudi Club win on 2026-01-02?","Yes","BUY","0.2¢","$495.00"
